Style,Precision,Recall,F1-Score,Accuracy
Wheat,0.6190053285968028,0.7902494331065759,0.694223107569721,0.9023308401461124
Pale Lager/Blonde Ale,0.8975118483412322,0.8193618171984857,0.8566581849024597,0.9023308401461124
Pale Ale,0.9907786885245902,0.9544332949498273,0.9722664432341852,0.9023308401461124
Strong Ale,0.7316076294277929,0.9055649241146712,0.8093443858327054,0.9023308401461124
Brown Ale,0.6045694200351494,0.8452088452088452,0.7049180327868853,0.9023308401461124
Stout/Porter,0.9704918032786886,0.8767772511848341,0.921257391845627,0.9023308401461124
